code_muni,casos,mortes
1500107,1,0
2100055,1,0
1200013,9,0
2400208,6,0
3500105,1,0
2900355,1,0
3200102,1,0
3500501,1,0
5200258,1,0
3500709,1,0
2900702,4,0
5000252,1,0
4300406,1,0
3101607,1,0
2600708,1,0
4100400,3,0
5100250,1,0
1500602,1,0
3200359,0,0
4300604,3,0
3501608,3,1
1500800,10,0
5201108,6,0
3300100,2,0
1300102,1,0
4300703,2,0
4201208,8,1
5201405,1,0
2401008,1,0
2301000,15,0
2800308,27,3
3502804,4,0
3200607,4,0
1702109,4,0
3103504,1,0
4101507,2,0
4201406,2,0
3503208,2,0
3300209,1,0
4101705,2,0
4101804,2,0
3104205,1,0
3300258,1,1
3503901,5,1
3504008,1,0
4102000,2,0
3504107,3,0
4301602,18,0
2401404,1,0
4201950,1,0
4202008,12,0
4202073,1,1
3105608,1,0
1501303,3,0
2902708,1,0
3300308,2,0
2903102,1,0
3300407,3,0
2903201,1,0
3505708,29,1
5002001,5,1
3506003,2,0
2302206,1,0
1501402,45,0
3300456,7,2
2903409,1,0
3106200,237,3
2601706,1,0
1501501,1,0
4302105,9,0
3106705,5,0
4202305,1,0
4202404,26,0
3107109,1,0
1400100,36,1
1300706,1,0
3107406,1,0
5203500,1,0
1400159,3,0
3507506,7,0
4202800,15,0
5300108,418,7
3507803,1,0
2904605,5,0
4202909,6,0
2503209,1,0
2602902,4,1
2904902,1,0
4303004,1,0
3508603,1,0
4303103,2,0
3201209,1,0
2402006,0,0
3509007,19,1
3509205,1,0
5204508,0,0
2905701,5,0
4303509,0,0
2603454,6,0
4103701,2,0
4203204,7,0
5204607,1,0
2504009,2,0
4104006,2,0
3509502,26,4
3111200,1,0
4303905,3,0
5002704,43,0
4104204,8,0
4104253,1,0
2202208,1,0
4104303,11,1
5102637,1,0
3111507,1,0
3301009,1,0
2906204,1,0
2906501,1,0
4203709,1,0
4304507,1,0
2302800,1,0
4304606,8,0
1400175,3,0
4304630,2,0
4304663,1,0
2801306,1,0
3112802,1,0
3510609,11,1
2402303,1,0
1301159,1,0
3201308,14,0
4304804,1,0
3113909,1,0
3114204,1,0
2402501,1,0
2604106,2,0
4104808,29,1
1502400,2,0
3201407,2,0
4104907,2,0
5205109,1,0
2907509,0,0
2303709,4,0
4305108,13,0
2402600,3,0
3511300,1,0
4305173,1,0
4204202,5,0
4305355,1,0
4105409,1,0
4105508,11,1
5205497,1,0
2908002,1,0
3201506,1,0
4105805,4,0
2908507,1,0
2908606,1,0
3118601,11,0
4106209,1,0
4106407,1,0
3119401,1,0
3513009,28,2
3513108,2,1
4204608,27,1
4306205,1,0
5103403,38,0
4106902,153,0
3513801,23,1
1707009,1,0
2910057,1,0
3122306,14,0
4306403,2,0
4306601,1,0
5003702,6,0
3514403,1,1
3301702,13,3
4306767,1,0
3515004,19,1
4307005,3,0
3124104,1,0
4307609,3,0
4307807,1,0
2304285,1,1
3125101,1,0
2403608,5,0
2304301,1,1
4307906,2,0
4107603,1,0
4107652,2,0
2910800,23,0
2605459,7,0
3515707,15,0
4205407,91,2
2304400,681,18
2304459,1,0
4108304,24,0
3516200,2,0
4108403,1,0
3516309,8,1
3516408,7,1
3202207,1,0
2911204,1,0
4308607,1,0
4205902,2,0
2606200,1,1
5208608,1,0
1503093,1,0
5208707,65,1
4108601,1,0
4206009,1,0
3127701,2,0
4309209,9,0
4206207,4,0
4309308,1,0
4108809,2,0
3301850,2,0
4109302,2,0
3202405,3,0
4109401,1,0
3518206,2,0
3518701,3,0
3518800,62,5
3128907,1,0
5209705,0,0
2305233,4,0
3519071,1,0
4109708,1,0
4109757,1,0
4207007,1,0
2305407,2,0
2502607,1,0
3301876,1,0
2913606,10,0
4207304,6,0
2105302,1,0
4207502,1,0
3520509,2,0
2305654,1,0
3131307,1,0
2913903,1,0
2607307,1,0
3521408,1,0
4207858,1,0
4110805,1,0
2802908,1,0
3131703,1,0
3301900,13,0
2914802,6,0
1301902,4,0
2915205,2,0
3302007,2,0
2306256,1,0
1503606,3,0
4208203,20,1
2915502,3,0
2915601,1,0
3522109,2,0
2306306,1,0
3522208,9,1
4208302,3,0
3202801,1,0
2916401,1,1
3522505,7,1
2306405,1,0
3522604,1,0
4208401,1,0
3523107,10,0
3523206,1,0
2917102,4,0
3523909,1,0
5211503,2,0
3524006,1,0
4310801,4,1
2607901,11,0
3524303,3,1
2306900,1,1
3524709,1,0
4208807,2,0
3525003,2,0
4208906,6,0
1100114,1,0
5211909,2,0
3525300,1,0
2918001,1,0
1100122,1,0
4209003,1,0
2507507,26,1
4209102,20,1
3525706,1,0
2918407,2,0
2307304,1,0
3136702,30,0
2507804,1,1
3525904,6,0
4209300,3,0
3137205,5,0
4209409,2,0
4311403,6,0
4113205,2,0
2919207,12,0
3138203,2,0
3526803,1,0
4113403,1,0
3526902,2,0
3203205,8,0
4113700,37,1
3527306,1,0
5105259,1,1
2407005,1,0
5212501,1,1
3302403,6,0
2407104,1,0
1600303,28,1
2704302,17,2
4210100,1,0
3302502,5,0
3528502,4,1
1302504,10,2
1302603,283,9
4114302,1,0
3302601,2,0
3139409,1,0
1504208,2,0
2307650,2,0
2307700,2,0
4311809,3,0
4114609,2,0
2704708,1,0
3140001,3,1
3302700,7,1
3529005,1,0
4115200,19,2
4115309,1,0
1504422,2,0
3529302,2,0
4115705,2,0
3529401,15,0
2308104,1,0
2921104,1,0
4115804,3,0
3302858,1,1
3302908,1,1
3530607,17,1
3530706,1,0
2407807,1,0
4211207,1,0
2408003,43,3
3143906,3,0
3144300,2,0
2408102,77,1
4211306,4,0
3303203,1,0
3303302,79,2
2804508,1,0
5006200,3,0
3303401,1,0
3303500,19,2
3144805,32,0
5108956,1,0
5106224,1,0
3533403,1,1
4313102,1,0
2922904,1,0
5215009,1,0
1303205,1,0
4313409,14,2
1505031,1,0
1505205,1,0
1600501,1,0
2609600,8,1
3534302,1,0
3534401,62,2
4313508,1,0
2107506,2,0
4211900,3,0
2610004,1,0
1721000,11,0
4117701,2,0
4212205,2,0
4314001,1,0
3303708,2,0
4118204,4,0
5216304,1,0
4118402,3,0
1505536,2,0
1303403,3,1
3536208,1,0
2207702,1,1
2403251,17,0
2409100,1,0
4314100,3,0
4118501,3,0
2510808,1,1
3148004,1,0
3148103,3,0
3536505,2,0
2610707,3,0
4212304,1,0
4118808,1,0
4212403,1,1
4314407,3,0
3537305,1,1
4212650,1,0
2611101,2,0
3303906,13,1
4119152,6,0
4119301,1,0
3538709,6,0
3538907,1,0
4119509,1,0
4314605,1,0
3539806,3,0
3151800,2,0
2925204,1,0
4213203,1,0
4119905,5,0
5006606,1,0
3304102,1,0
1200807,1,0
4314902,241,4
4213500,4,1
3540606,0,0
2707503,1,0
2925303,10,0
1100205,9,1
3152501,3,0
2925501,4,0
3541000,4,0
3541604,1,0
2805703,2,0
4120705,2,1
4120804,0,0
3304144,2,0
2311306,2,0
4214300,2,0
2611606,119,10
3304201,2,0
3154606,1,0
3543303,4,0
3543402,24,1
3304300,2,1
1200401,36,0
4122206,1,0
3543907,2,0
3304524,3,1
3304557,982,38
4315602,2,0
4122305,1,0
5218805,7,0
5007406,1,0
4122404,1,0
4316006,1,0
5107602,6,0
3156700,4,0
3545308,1,0
2927408,215,5
4317103,5,0
3546009,2,0
2927705,2,0
3546801,1,0
3157807,1,0
4316907,2,0
2312205,1,1
4317202,2,0
3204609,1,0
3547304,24,0
3158953,1,0
1506807,5,1
4317400,1,0
3547809,76,3
2411502,1,0
4317608,1,0
1303700,4,0
3160405,2,0
3548500,66,2
3548708,77,4
3548807,38,1
2928950,1,0
4318051,1,0
4216206,2,0
4318309,1,0
1507458,1,0
3304904,10,1
2412005,9,0
3305109,4,1
3162500,3,0
4216602,15,0
2412203,1,0
2111201,3,0
2210052,1,1
3549706,1,0
3549805,9,0
3549904,24,0
4125506,7,0
4318705,8,0
2613701,3,0
4216909,1,0
4217006,3,1
2111300,86,2
5220108,1,0
4125555,1,0
3550100,1,0
3204906,4,1
3550308,3496,212
3550407,0,0
3305208,1,0
4217253,1,0
3204955,1,0
3550704,3,1
4319505,2,0
3551009,5,0
4319901,1,0
4320008,1,0
4126256,2,0
5220454,1,0
4320404,3,0
3305554,1,0
3205002,28,1
2515500,1,0
3166808,1,0
3167202,2,0
4217600,3,0
5007901,1,0
5220603,1,0
2930709,1,0
5107909,3,0
2312908,5,0
4217709,2,0
3205010,2,0
3552205,8,2
2516201,1,0
3552502,8,0
3552809,39,2
5107958,4,0
4321204,1,0
4321303,1,0
3554003,1,0
3554102,1,0
2931350,3,0
4127106,4,0
2211001,21,2
3305802,4,0
4127205,1,0
4127304,1,0
2313401,1,1
2411056,1,0
4218004,1,0
4218103,1,0
2112209,2,0
3168705,1,0
3169109,1,0
1304237,3,0
4321501,8,0
4321600,1,0
5008305,1,0
3306008,1,0
5221403,1,0
4218707,18,0
1508100,1,0
3170107,4,0
3170206,26,2
4128104,2,0
3170404,1,0
4128203,2,0
2932705,1,0
4322400,1,0
4219002,2,0
2932804,1,1
3306107,2,0
3556206,3,0
5221858,5,0
3556453,4,1
3170701,3,0
5108402,4,0
4128609,1,0
4323002,4,0
3205101,1,0
4323408,1,0
3205200,50,2
3556701,1,0
3205309,43,2
2933307,2,0
3306305,45,2
3557006,2,0
3557105,1,0
