ANO;Codmun6;GEOCODIGO
2000;110001;1100015
2000;110002;1100023
2000;110003;1100031
2000;110004;1100049
2000;110005;1100056
2000;110006;1100064
2000;110007;1100072
2000;110008;1100080
2000;110009;1100098
2000;110010;1100106
2000;110011;1100114
2000;110012;1100122
2000;110013;1100130
2000;110014;1100148
2000;110015;1100155
2000;110018;1100189
2000;110020;1100205
2000;110025;1100254
2000;110026;1100262
2000;110028;1100288
2000;110029;1100296
2000;110030;1100304
2000;110032;1100320
2000;110033;1100338
2000;110034;1100346
2000;110037;1100379
2000;110040;1100403
2000;110045;1100452
2000;110050;1100502
2000;110060;1100601
2000;110070;1100700
2000;110080;1100809
2000;110090;1100908
2000;110092;1100924
2000;110094;1100940
2000;110100;1101005
2000;110110;1101104
2000;110120;1101203
2000;110130;1101302
2000;110140;1101401
2000;110143;1101435
2000;110145;1101450
2000;110146;1101468
2000;110147;1101476
2000;110148;1101484
2000;110149;1101492
2000;110150;1101500
2000;110155;1101559
2000;110160;1101609
2000;110170;1101708
2000;110175;1101757
2000;110180;1101807
2000;120001;1200013
2000;120005;1200054
2000;120010;1200104
2000;120013;1200138
2000;120017;1200179
2000;120020;1200203
2000;120025;1200252
2000;120030;1200302
2000;120032;1200328
2000;120033;1200336
2000;120034;1200344
2000;120035;1200351
2000;120038;1200385
2000;120039;1200393
2000;120040;1200401
2000;120042;1200427
2000;120043;1200435
2000;120045;1200450
2000;120050;1200500
2000;120060;1200609
2000;120070;1200708
2000;120080;1200807
2000;130002;1300029
2000;130006;1300060
2000;130008;1300086
2000;130010;1300102
2000;130014;1300144
2000;130020;1300201
2000;130030;1300300
2000;130040;1300409
2000;130050;1300508
2000;130060;1300607
2000;130063;1300631
2000;130068;1300680
2000;130070;1300706
2000;130080;1300805
2000;130083;1300839
2000;130090;1300904
2000;130100;1301001
2000;130110;1301100
2000;130115;1301159
2000;130120;1301209
2000;130130;1301308
2000;130140;1301407
2000;130150;1301506
2000;130160;1301605
2000;130165;1301654
2000;130170;1301704
2000;130180;1301803
2000;130185;1301852
2000;130190;1301902
2000;130195;1301951
2000;130200;1302009
2000;130210;1302108
2000;130220;1302207
2000;130230;1302306
2000;130240;1302405
2000;130250;1302504
2000;130255;1302553
2000;130260;1302603
2000;130270;1302702
2000;130280;1302801
2000;130290;1302900
2000;130300;1303007
2000;130310;1303106
2000;130320;1303205
2000;130330;1303304
2000;130340;1303403
2000;130350;1303502
2000;130353;1303536
2000;130356;1303569
2000;130360;1303601
2000;130370;1303700
2000;130380;1303809
2000;130390;1303908
2000;130395;1303957
2000;130400;1304005
2000;130406;1304062
2000;130410;1304104
2000;130420;1304203
2000;130423;1304237
2000;130426;1304260
2000;130430;1304302
2000;130440;1304401
2000;140002;1400027
2000;140005;1400050
2000;140010;1400100
2000;140015;1400159
2000;140017;1400175
2000;140020;1400209
2000;140023;1400233
2000;140028;1400282
2000;140030;1400308
2000;140040;1400407
2000;140045;1400456
2000;140047;1400472
2000;140050;1400506
2000;140060;1400605
2000;140070;1400704
2000;150010;1500107
2000;150013;1500131
2000;150020;1500206
2000;150030;1500305
2000;150034;1500347
2000;150040;1500404
2000;150050;1500503
2000;150060;1500602
2000;150070;1500701
2000;150080;1500800
2000;150085;1500859
2000;150090;1500909
2000;150095;1500958
2000;150100;1501006
2000;150110;1501105
2000;150120;1501204
2000;150125;1501253
2000;150130;1501303
2000;150140;1501402
2000;150145;1501451
2000;150150;1501501
2000;150157;1501576
2000;150160;1501600
2000;150170;1501709
2000;150172;1501725
2000;150175;1501758
2000;150178;1501782
2000;150180;1501808
2000;150190;1501907
2000;150195;1501956
2000;150200;1502004
2000;150210;1502103
2000;150215;1502152
2000;150220;1502202
2000;150230;1502301
2000;150240;1502400
2000;150250;1502509
2000;150260;1502608
2000;150270;1502707
2000;150275;1502756
2000;150276;1502764
2000;150277;1502772
2000;150280;1502806
2000;150285;1502855
2000;150290;1502905
2000;150293;1502939
2000;150295;1502954
2000;150300;1503002
2000;150304;1503044
2000;150307;1503077
2000;150309;1503093
2000;150310;1503101
2000;150320;1503200
2000;150330;1503309
2000;150340;1503408
2000;150345;1503457
2000;150350;1503507
2000;150360;1503606
2000;150370;1503705
2000;150375;1503754
2000;150380;1503804
2000;150390;1503903
2000;150400;1504000
2000;150405;1504059
2000;150410;1504109
2000;150420;1504208
2000;150430;1504307
2000;150440;1504406
2000;150442;1504422
2000;150445;1504455
2000;150450;1504505
2000;150460;1504604
2000;150470;1504703
2000;150480;1504802
2000;150490;1504901
2000;150495;1504950
2000;150497;1504976
2000;150500;1505007
2000;150503;1505031
2000;150506;1505064
2000;150510;1505106
2000;150520;1505205
2000;150530;1505304
2000;150540;1505403
2000;150543;1505437
2000;150548;1505486
2000;150549;1505494
2000;150550;1505502
2000;150553;1505536
2000;150555;1505551
2000;150560;1505601
2000;150563;1505635
2000;150565;1505650
2000;150570;1505700
2000;150580;1505809
2000;150590;1505908
2000;150600;1506005
2000;150610;1506104
2000;150611;1506112
2000;150613;1506138
2000;150616;1506161
2000;150618;1506187
2000;150619;1506195
2000;150620;1506203
2000;150630;1506302
2000;150635;1506351
2000;150640;1506401
2000;150650;1506500
2000;150655;1506559
2000;150658;1506583
2000;150660;1506609
2000;150670;1506708
2000;150680;1506807
2000;150690;1506906
2000;150700;1507003
2000;150710;1507102
2000;150715;1507151
2000;150720;1507201
2000;150730;1507300
2000;150740;1507409
2000;150745;1507458
2000;150746;1507466
2000;150747;1507474
2000;150750;1507508
2000;150760;1507607
2000;150770;1507706
2000;150775;1507755
2000;150780;1507805
2000;150790;1507904
2000;150795;1507953
2000;150796;1507961
2000;150797;1507979
2000;150800;1508001
2000;150803;1508035
2000;150805;1508050
2000;150808;1508084
2000;150810;1508100
2000;150812;1508126
2000;150815;1508159
2000;150820;1508209
2000;150830;1508308
2000;150835;1508357
2000;150840;1508407
2000;160005;1600055
2000;160010;1600105
2000;160015;1600154
2000;160020;1600204
2000;160021;1600212
2000;160023;1600238
2000;160025;1600253
2000;160027;1600279
2000;160030;1600303
2000;160040;1600402
2000;160050;1600501
2000;160053;1600535
2000;160055;1600550
2000;160060;1600600
2000;160070;1600709
2000;160080;1600808
2000;170025;1700251
2000;170030;1700301
2000;170035;1700350
2000;170040;1700400
2000;170070;1700707
2000;170100;1701002
2000;170105;1701051
2000;170110;1701101
2000;170130;1701309
2000;170190;1701903
2000;170200;1702000
2000;170210;1702109
2000;170215;1702158
2000;170220;1702208
2000;170230;1702307
2000;170240;1702406
2000;170255;1702554
2000;170270;1702703
2000;170290;1702901
2000;170300;1703008
2000;170305;1703057
2000;170307;1703073
2000;170310;1703107
2000;170320;1703206
2000;170330;1703305
2000;170360;1703602
2000;170370;1703701
2000;170380;1703800
2000;170382;1703826
2000;170384;1703842
2000;170386;1703867
2000;170388;1703883
2000;170389;1703891
2000;170390;1703909
2000;170410;1704105
2000;170460;1704600
2000;170510;1705102
2000;170550;1705508
2000;170555;1705557
2000;170560;1705607
2000;170600;1706001
2000;170610;1706100
2000;170625;1706258
2000;170650;1706506
2000;170700;1707009
2000;170710;1707108
2000;170720;1707207
2000;170730;1707306
2000;170740;1707405
2000;170755;1707553
2000;170765;1707652
2000;170770;1707702
2000;170820;1708205
2000;170825;1708254
2000;170830;1708304
2000;170900;1709005
2000;170930;1709302
2000;170950;1709500
2000;170980;1709807
2000;171050;1710508
2000;171070;1710706
2000;171090;1710904
2000;171110;1711100
2000;171150;1711506
2000;171180;1711803
2000;171190;1711902
2000;171195;1711951
2000;171200;1712009
2000;171215;1712157
2000;171240;1712405
2000;171245;1712454
2000;171250;1712504
2000;171270;1712702
2000;171280;1712801
2000;171320;1713205
2000;171330;1713304
2000;171360;1713601
2000;171370;1713700
2000;171380;1713809
2000;171395;1713957
2000;171420;1714203
2000;171430;1714302
2000;171488;1714880
2000;171500;1715002
2000;171510;1715101
2000;171515;1715150
2000;171525;1715259
2000;171550;1715507
2000;171570;1715705
2000;171575;1715754
2000;171610;1716109
2000;171620;1716208
2000;171630;1716307
2000;171650;1716505
2000;171660;1716604
2000;171665;1716653
2000;171670;1716703
2000;171700;1717008
2000;171720;1717206
2000;171750;1717503
2000;171780;1717800
2000;171790;1717909
2000;171800;1718006
2000;171820;1718204
2000;171830;1718303
2000;171840;1718402
