SIGLA_UF;COD_UF;COD_MN;NOME_MN;POP_ESTIM
RO;11;00015;Alta Floresta D'Oeste;23857
RO;11;00379;Alto Alegre dos Parecis;11615
RO;11;00403;Alto Paraíso;16676
RO;11;00346;Alvorada D'Oeste;16485
RO;11;00023;Ariquemes;82388
RO;11;00452;Buritis;33072
RO;11;00031;Cabixi;6586
RO;11;00601;Cacaulândia;5553
RO;11;00049;Cacoal;76155
RO;11;00700;Campo Novo de Rondônia;12455
RO;11;00809;Candeias do Jamari;16725
RO;11;00908;Castanheiras;3624
RO;11;00056;Cerejeiras;16290
RO;11;00924;Chupinguaia;7456
RO;11;00064;Colorado do Oeste;17690
RO;11;00072;Corumbiara;9476
RO;11;00080;Costa Marques;13664
RO;11;00940;Cujubim;13857
RO;11;00098;Espigão D'Oeste;27867
RO;11;01005;Governador Jorge Teixeira;11432
RO;11;00106;Guajará-Mirim;39451
RO;11;01104;Itapuã do Oeste;7905
RO;11;00114;Jaru;52476
RO;11;00122;Ji-Paraná;107638
RO;11;00130;Machadinho D'Oeste;29548
RO;11;01203;Ministro Andreazza;10333
RO;11;01302;Mirante da Serra;12086
RO;11;01401;Monte Negro;12357
RO;11;00148;Nova Brasilândia D'Oeste;17170
RO;11;00338;Nova Mamoré;21162
RO;11;01435;Nova União;7750
RO;11;00502;Novo Horizonte do Oeste;9648
RO;11;00155;Ouro Preto do Oeste;36040
RO;11;01450;Parecis;4583
RO;11;00189;Pimenta Bueno;32893
RO;11;01468;Pimenteiras do Oeste;2358
RO;11;00205;Porto Velho;371791
RO;11;00254;Presidente Médici;22197
RO;11;01476;Primavera de Rondônia;3704
RO;11;00262;Rio Crespo;3174
RO;11;00288;Rolim de Moura;48894
RO;11;00296;Santa Luzia D'Oeste;9264
RO;11;01484;São Felipe D'Oeste;6286
RO;11;01492;São Francisco do Guaporé;15710
RO;11;00320;São Miguel do Guaporé;22622
RO;11;01500;Seringueiras;11757
RO;11;01559;Teixeirópolis;4919
RO;11;01609;Theobroma;9973
RO;11;01708;Urupá;13381
RO;11;01757;Vale do Anari;8751
RO;11;01807;Vale do Paraíso;8742
RO;11;00304;Vilhena;66751
AC;12;00013;Acrelândia;11739
AC;12;00054;Assis Brasil;5413
AC;12;00104;Brasiléia;19064
AC;12;00138;Bujari;6311
AC;12;00179;Capixaba;8456
AC;12;00203;Cruzeiro do Sul;74101
AC;12;00252;Epitaciolândia;13344
AC;12;00302;Feijó;31257
AC;12;00328;Jordão;6081
AC;12;00336;Mâncio Lima;13753
AC;12;00344;Manoel Urbano;7114
AC;12;00351;Marechal Thaumaturgo;13144
AC;12;00385;Plácido de Castro;17234
AC;12;00807;Porto Acre;13845
AC;12;00393;Porto Walter;8040
AC;12;00401;Rio Branco;288614
AC;12;00427;Rodrigues Alves;12305
AC;12;00435;Santa Rosa do Purus;3963
AC;12;00500;Sena Madureira;34221
AC;12;00450;Senador Guiomard;18899
AC;12;00609;Tarauacá;32311
AC;12;00708;Xapuri;14411
AM;13;00029;Alvarães;13038
AM;13;00060;Amaturá;8384
AM;13;00086;Anamã;8182
AM;13;00102;Anori;13834
AM;13;00144;Apuí;17426
AM;13;00201;Atalaia do Norte;13682
AM;13;00300;Autazes;29908
AM;13;00409;Barcelos;24567
AM;13;00508;Barreirinha;26648
AM;13;00607;Benjamin Constant;29676
AM;13;00631;Beruri;13809
AM;13;00680;Boa Vista do Ramos;13138
AM;13;00706;Boca do Acre;29672
AM;13;00805;Borba;30474
AM;13;00839;Caapiranga;10547
AM;13;00904;Canutama;11775
AM;13;01001;Carauari;25110
AM;13;01100;Careiro;31063
AM;13;01159;Careiro da Várzea;23023
AM;13;01209;Coari;61069
AM;13;01308;Codajás;15723
AM;13;01407;Eirunepé;29411
AM;13;01506;Envira;16409
AM;13;01605;Fonte Boa;19697
AM;13;01654;Guajará;14097
AM;13;01704;Humaitá;38559
AM;13;01803;Ipixuna;17177
AM;13;01852;Iranduba;30472
AM;13;01902;Itacoatiara;84671
AM;13;01951;Itamarati;8078
AM;13;02009;Itapiranga;7828
AM;13;02108;Japurá;5281
AM;13;02207;Juruá;8658
AM;13;02306;Jutaí;17103
AM;13;02405;Lábrea;36705
AM;13;02504;Manacapuru;82309
AM;13;02553;Manaquiri;19314
AM;13;02603;Manaus;1612475
AM;13;02702;Manicoré;44327
AM;13;02801;Maraã;17517
AM;13;02900;Maués;47001
AM;13;03007;Nhamundá;17553
AM;13;03106;Nova Olinda do Norte;29184
AM;13;03205;Novo Airão;14630
AM;13;03304;Novo Aripuanã;18067
AM;13;03403;Parintins;102044
AM;13;03502;Pauini;18325
AM;13;03536;Presidente Figueiredo;24360
AM;13;03569;Rio Preto da Eva;24858
AM;13;03601;Santa Isabel do Rio Negro;16921
AM;13;03700;Santo Antônio do Içá;29190
AM;13;03809;São Gabriel da Cachoeira;39130
AM;13;03908;São Paulo de Olivença;30319
