CD_GEOCODM;POP_ESTIM
1200013;12538
1200054;6075
1200104;21438
1200138;8474
1200179;8810
1200203;78444
1200252;15126
1200302;32311
1200328;6531
1200336;15246
1200344;7989
1200351;14200
1200385;17203
1200807;14806
1200393;9172
1200401;335796
1200427;14334
1200435;4612
1200500;37993
1200450;20153
1200609;35526
1200708;16016
2700102;19376
2700201;17423
2700300;214067
2700409;44379
2700508;14228
2700607;7573
2700706;17076
2700805;4551
2700904;7032
2701001;25780
2701100;10586
2701209;10197
2701308;20410
2701357;6599
2701407;50831
2701506;9032
2701605;17248
2701704;17077
2701803;8290
2701902;7146
2702009;10926
2702108;20022
2702207;5523
2702306;52160
2702355;22643
2702405;48090
2702504;10879
2702553;17254
2702603;21325
2702702;4332
2702801;12339
2702900;36625
2703007;15133
2703106;25197
2703205;23298
2703304;17902
2703403;5413
2703502;6986
2703601;7752
2703700;5562
2703759;12035
2703809;22581
2703908;4202
2704005;23854
2704104;18253
2704203;26992
2704302;932608
2704401;18901
2704906;3652
2704500;28746
2704609;10276
2704708;45994
2704807;13614
2705002;24702
2705101;23780
2705200;15682
2705309;5280
2705408;6944
2705507;26706
2705606;12069
2705705;20367
2705804;8491
2705903;4957
2706000;11057
2706109;10911
2706208;5112
2706307;70434
2706406;23809
2706422;10246
2706448;11349
2706505;14772
2706604;7426
2706703;60389
2706802;17219
2706901;33312
2707008;2866
2707107;23052
2707206;13873
2707305;25718
2707404;8419
2707503;19314
2707602;11486
2707701;68512
2707800;6656
2707909;6893
2708006;44949
2708105;10961
2708204;6720
2708303;22689
2708402;30140
2708501;32416
2708600;54591
2708709;7170
2708808;32007
2708907;14604
2708956;13047
2709004;6122
2709103;19020
2709152;41158
2709202;25710
2709301;62401
2709400;25444
1600105;8005
1600204;8964
1600212;4634
1600238;5772
1600253;4267
1600279;39805
1600303;397913
1600402;17030
1600501;20426
1600154;10773
1600535;16825
1600550;3783
1600600;101203
1600055;4409
1600709;12435
1600808;12445
1300029;14080
1300060;9657
1300086;10193
