COD_UF;COD_MN;POP_ESTIM
11;15;22945
11;23;107863
11;31;5312
11;49;85359
11;56;16323
11;64;15882
11;72;7391
11;80;18331
11;98;32374
11;106;46174
11;114;51775
11;122;128969
11;130;39991
11;148;20474
11;155;36035
11;189;36660
11;205;529544
11;254;18986
11;262;3764
11;288;55058
11;296;6495
11;304;99854
11;320;23005
11;338;30583
11;346;14411
11;379;13241
11;403;21428
11;452;39654
11;502;8538
11;601;6230
11;700;14139
11;809;26693
11;908;3052
11;924;11182
11;940;25215
11;1005;7767
11;1104;10458
11;1203;9660
11;1302;10947
11;1401;15852
11;1435;6970
11;1450;6074
11;1468;2169
11;1476;2856
11;1484;5172
11;1492;20266
11;1500;11856
11;1559;4308
11;1609;10444
11;1708;11467
11;1757;11204
11;1807;6825
12;13;15256
12;54;7417
12;104;26278
12;138;10266
12;179;11733
12;203;88376
12;252;18411
12;302;34780
12;328;8317
12;336;18977
12;344;9459
12;351;18867
12;385;19761
12;393;11982
12;401;407319
12;427;18930
12;435;6540
12;450;23024
12;500;45848
12;609;42567
12;708;19323
12;807;18504
13;29;16041
13;60;11536
13;86;13614
13;102;21010
13;144;21973
13;201;19921
13;300;39565
13;409;27502
13;508;32041
13;607;42984
13;631;19679
13;680;19207
13;706;34308
13;805;41161
13;839;13081
13;904;15629
13;1001;28294
13;1100;37869
13;1159;30225
13;1209;85097
13;1308;28637
13;1407;35273
13;1506;20033
13;1605;17609
13;1654;16678
13;1704;55080
13;1803;29689
13;1852;48296
13;1902;101337
13;1951;7851
13;2009;9148
13;2108;2755
13;2207;14712
13;2306;14317
13;2405;46069
13;2504;97377
13;2553;32105
13;2603;2182763
13;2702;55751
13;2801;18224
13;2900;63905
13;3007;21173
13;3106;37378
13;3205;19454
13;3304;25644
13;3403;114273
13;3502;19426
13;3536;36279
13;3569;33347
13;3601;25156
13;3700;21602
13;3809;45564
13;3908;39299
13;3957;14020
13;4005;9171
13;4062;65844
13;4104;17156
13;4203;59849
13;4237;18755
13;4260;13540
13;4302;16256
13;4401;23065
14;27;12796
14;50;15510
14;100;399213
14;159;12409
14;175;18335
14;209;21926
14;233;10169
14;282;11950
14;308;17853
14;407;11290
14;456;17401
14;472;30163
14;506;8201
14;605;7986
14;704;10559
15;107;157698
15;131;7434
15;206;55591
15;305;39218
15;347;27430
15;404;56789
15;503;34109
15;602;114594
15;701;29277
15;800;530598
15;859;27890
15;909;45998
15;958;31338
15;1006;16388
15;1105;30673
15;1204;47446
15;1253;3286
15;1303;124680
15;1402;1492745
15;1451;17732
15;1501;62737
15;1576;16981
15;1600;16286
15;1709;127686
15;1725;15086
15;1758;7380
15;1782;66046
15;1808;102701
15;1907;29132
15;1956;33900
15;2004;23767
15;2103;137890
15;2152;37085
15;2202;69027
15;2301;54303
15;2400;200793
15;2509;23717
15;2608;12085
15;2707;47864
15;2756;33318
15;2764;13473
15;2772;17929
15;2806;34448
15;2855;14393
15;2905;40066
15;2939;59719
15;2954;33808
15;3002;7194
15;3044;20304
15;3077;26066
15;3093;40475
15;3101;33376
15;3200;38807
15;3309;62698
15;3408;11711
15;3457;64053
15;3507;32550
15;3606;101247
15;3705;53269
15;3754;8239
15;3804;59155
15;3903;57943
15;4000;28935
15;4059;30077
15;4109;8548
15;4208;279349
15;4307;29473
15;4406;28336
15;4422;131521
15;4455;31597
15;4505;27654
15;4604;31136
15;4703;82094
15;4752;16084
15;4802;58032
15;4901;40349
15;4950;21368
15;4976;16678
15;5007;15363
15;5031;25762
15;5064;75919
15;5106;52137
15;5205;32512
15;5304;73096
15;5403;17842
15;5437;32832
15;5486;47706
15;5494;7589
15;5502;113145
15;5536;208273
15;5551;5483
15;5601;8077
15;5635;12981
15;5650;30982
15;5700;31082
15;5809;62043
15;5908;41135
15;6005;29866
15;6104;10825
15;6112;13608
15;6138;84787
15;6161;18193
15;6187;52357
15;6195;50510
15;6203;40675
15;6302;23752
15;6351;21079
15;6401;10128
15;6500;70801
15;6559;19848
15;6583;21449
15;6609;24861
15;6708;72817
15;6807;304589
15;6906;6709
15;7003;31482
15;7102;18050
15;7151;25557
15;7201;31989
15;7300;128481
15;7409;15882
15;7458;24847
15;7466;6139
15;7474;23045
15;7508;13996
15;7607;58986
15;7706;26640
15;7755;5930
15;7805;11658
15;7904;25374
15;7953;106339
15;7961;11720
15;7979;18769
15;8001;63447
15;8035;30959
15;8050;18989
15;8084;39602
15;8100;113659
15;8126;59210
15;8159;45476
15;8209;53686
15;8308;61403
15;8357;15134
15;8407;44751
16;55;5397
16;105;9109
16;154;16502
16;204;11117
16;212;5983
16;238;7780
16;253;5503
16;279;50410
16;303;503327
16;402;21632
16;501;27270
16;535;21971
16;550;5120
16;600;121364
16;709;17315
16;808;15931
17;251;2579
17;301;6733
17;350;5390
17;400;7055
17;707;8412
17;1002;9549
17;1051;3433
17;1101;4795
17;1309;5758
17;1903;7086
17;2000;8517
17;2109;180470
17;2158;5729
17;2208;35761
17;2307;6643
17;2406;10567
17;2554;18412
17;2703;3757
17;2901;9756
17;3008;10664
17;3057;3553
17;3073;4591
17;3107;5632
17;3206;4459
17;3305;4894
17;3602;2201
17;3701;5497
17;3800;11348
17;3826;2275
17;3842;10116
17;3867;4382
17;3883;2580
17;3891;4095
17;3909;5369
17;4105;2905
17;4600;1406
17;5102;3333
17;5508;35424
17;5557;4852
17;5607;4105
17;6001;5588
17;6100;7289
17;6258;1722
17;6506;6097
17;7009;22139
17;7108;6900
17;7207;7198
17;7306;4686
17;7405;10996
17;7553;3835
17;7652;5263
17;7702;8856
17;8205;18440
17;8254;2589
17;8304;5123
17;9005;13019
17;9302;25923
17;9500;86647
17;9807;2015
17;10508;7433
17;10706;5864
17;10904;3777
17;11100;2427
17;11506;3849
17;11803;2193
17;11902;13357
17;11951;4316
17;12009;3134
17;12157;1923
17;12405;3740
17;12454;3108
17;12504;5175
17;12702;2684
17;12801;3426
17;13205;18248
17;13304;13434
17;13601;7947
17;13700;2279
17;13809;6658
17;13957;3551
17;14203;9244
17;14302;3898
17;14880;11819
17;15002;4260
17;15101;4342
17;15150;2332
17;15259;2722
17;15507;1112
17;15705;6026
17;15754;7659
17;16109;51252
17;16208;10449
17;16307;4849
17;16505;13578
17;16604;11749
17;16653;5477
17;16703;8205
17;17008;4447
17;17206;3028
17;17503;7654
17;17800;4596
17;17909;8039
17;18006;3139
17;18204;53010
17;18303;8432
17;18402;3684
17;18451;2688
17;18501;4293
17;18550;4645
17;18659;2130
17;18709;2834
17;18758;6478
17;18808;4711
17;18840;3375
17;18865;7512
17;18881;3434
17;18899;2365
17;18907;4829
17;19004;2866
17;20002;2529
17;20101;5324
17;20150;1585
17;20200;12139
17;20259;3082
17;20309;4805
17;20499;3960
17;20655;5403
17;20804;9029
17;20853;1966
17;20903;16683
17;20937;2148
17;20978;2793
17;21000;299127
17;21109;7545
17;21208;22870
17;21257;1891
17;21307;2671
17;22081;11683
17;22107;11540
21;55;112445
21;105;6524
21;154;12571
21;204;22097
21;303;26532
21;402;8128
21;436;27053
21;477;31919
21;501;11190
21;550;6962
21;600;41435
21;709;26803
21;808;15732
21;832;17239
21;873;15426
21;907;46440
21;956;32701
21;1004;29848
21;1103;12130
21;1202;104949
21;1251;17055
21;1301;18582
21;1350;5644
21;1400;94887
21;1509;18820
