GEOCODIGO;COD_MESO
1100015;1102
1100023;1102
1100031;1102
1100049;1102
1100056;1102
1100064;1102
1100072;1102
1100080;1101
1100098;1102
1100106;1101
1100114;1102
1100122;1102
1100130;1102
1100148;1102
1100155;1102
1100189;1102
1100205;1101
1100254;1102
1100262;1102
1100288;1102
1100296;1102
1100304;1102
1100320;1102
1100338;1101
1100346;1102
1100379;1102
1100403;1102
1100452;1101
1100502;1102
1100601;1102
1100700;1101
1100809;1101
1100908;1102
1100924;1102
1100940;1101
1101005;1102
1101104;1101
1101203;1102
1101302;1102
1101401;1102
1101435;1102
1101450;1102
1101468;1102
1101476;1102
1101484;1102
1101492;1101
1101500;1102
1101559;1102
1101609;1102
1101708;1102
1101757;1102
1101807;1102
1200013;1202
1200054;1202
1200104;1202
1200138;1202
1200179;1202
1200203;1201
1200252;1202
1200302;1201
1200328;1201
1200336;1201
1200344;1202
1200351;1201
1200385;1202
1200393;1201
1200401;1202
1200427;1201
1200435;1202
1200450;1202
1200500;1202
1200609;1201
1200708;1202
1200807;1202
1300029;1303
1300060;1302
1300086;1303
1300102;1303
1300144;1304
1300201;1302
1300300;1303
1300409;1301
1300508;1303
1300607;1302
1300631;1303
1300680;1303
1300706;1304
1300805;1304
1300839;1303
1300904;1304
1301001;1302
1301100;1303
1301159;1303
1301209;1303
1301308;1303
1301407;1302
1301506;1302
1301605;1302
1301654;1302
1301704;1304
1301803;1302
1301852;1303
1301902;1303
1301951;1302
1302009;1303
1302108;1301
1302207;1302
1302306;1302
1302405;1304
1302504;1303
1302553;1303
1302603;1303
1302702;1304
1302801;1301
1302900;1303
1303007;1303
1303106;1303
1303205;1301
1303304;1304
1303403;1303
1303502;1304
1303536;1303
1303569;1303
1303601;1301
1303700;1302
1303809;1301
1303908;1302
1303957;1303
1304005;1303
1304062;1302
1304104;1304
1304203;1303
1304237;1302
1304260;1303
1304302;1303
1304401;1303
1400027;1401
1400050;1401
1400100;1401
1400159;1401
1400175;1401
1400209;1402
1400233;1402
1400282;1402
1400308;1402
1400407;1401
1400456;1401
1400472;1402
1400506;1402
1400605;1402
1400704;1401
1500107;1504
1500131;1506
1500206;1504
1500305;1502
1500347;1506
1500404;1501
1500503;1501
1500602;1505
1500701;1502
1500800;1503
1500859;1505
1500909;1504
1500958;1504
1501006;1505
1501105;1502
1501204;1504
1501253;1506
1501303;1503
1501402;1503
1501451;1501
1501501;1503
1501576;1506
1501600;1504
1501709;1504
1501725;1505
1501758;1506
1501782;1506
1501808;1502
1501907;1503
1501956;1504
1502004;1502
1502103;1504
1502152;1506
1502202;1504
1502301;1504
1502400;1503
1502509;1502
1502608;1504
1502707;1506
1502756;1504
1502764;1506
1502772;1506
1502806;1502
1502855;1501
1502905;1504
1502939;1506
1502954;1506
1503002;1501
1503044;1506
1503077;1504
1503093;1506
1503101;1502
1503200;1504
1503309;1504
1503408;1503
1503457;1504
1503507;1504
1503606;1505
1503705;1506
1503754;1505
1503804;1506
1503903;1501
1504000;1504
1504059;1504
1504109;1504
1504208;1506
1504307;1504
1504406;1504
1504422;1503
1504455;1505
1504505;1502
1504604;1504
1504703;1504
1504752;1501
1504802;1501
1504901;1502
1504950;1504
1504976;1506
1505007;1504
1505031;1505
1505064;1506
1505106;1501
1505205;1504
1505304;1501
1505403;1504
1505437;1506
1505486;1505
1505494;1506
1505502;1506
1505536;1506
1505551;1506
1505601;1504
1505635;1506
1505650;1501
1505700;1502
1505809;1502
1505908;1501
1506005;1501
1506104;1504
1506112;1504
1506138;1506
1506161;1506
1506187;1506
1506195;1505
1506203;1504
1506302;1502
1506351;1503
1506401;1502
1506500;1503
1506559;1504
1506583;1506
1506609;1504
1506708;1506
1506807;1501
1506906;1504
1507003;1503
1507102;1504
1507151;1506
1507201;1504
1507300;1506
1507409;1504
1507458;1506
1507466;1504
1507474;1504
1507508;1506
1507607;1504
1507706;1502
1507755;1506
1507805;1505
1507904;1502
1507953;1504
1507961;1504
1507979;1501
1508001;1504
1508035;1504
1508050;1505
1508084;1506
1508100;1506
1508126;1506
1508159;1505
1508209;1504
1508308;1504
1508357;1505
1508407;1506
1600055;1602
1600105;1601
1600154;1602
1600204;1601
1600212;1602
1600238;1602
1600253;1602
1600279;1602
1600303;1602
1600402;1602
1600501;1601
1600535;1602
1600550;1601
1600600;1602
1600709;1601
1600808;1602
1700251;1701
1700301;1701
1700350;1701
1700400;1702
1700707;1701
1701002;1701
1701051;1701
1701101;1702
1701309;1701
1701903;1701
1702000;1701
1702109;1701
1702158;1701
1702208;1701
1702307;1701
1702406;1702
1702554;1701
1702703;1702
1702901;1701
1703008;1701
1703057;1701
1703073;1702
1703107;1701
1703206;1701
1703305;1702
1703602;1701
1703701;1701
1703800;1701
1703826;1701
1703842;1702
1703867;1701
1703883;1701
1703891;1701
1703909;1701
1704105;1702
1704600;1701
1705102;1702
1705508;1701
1705557;1702
1705607;1702
1706001;1701
1706100;1701
1706258;1701
1706506;1701
1707009;1702
1707108;1701
1707207;1701
1707306;1701
1707405;1701
1707553;1701
1707652;1701
1707702;1701
1708205;1701
1708254;1701
1708304;1701
1709005;1702
1709302;1701
1709500;1701
1709807;1702
1710508;1702
1710706;1701
1710904;1702
1711100;1701
1711506;1701
1711803;1701
1711902;1701
1711951;1702
1712009;1702
1712157;1702
1712405;1702
1712454;1701
1712504;1701
1712702;1702
1712801;1701
1713205;1701
1713304;1701
1713601;1702
1713700;1701
1713809;1701
1713957;1701
1714203;1702
1714302;1701
1714880;1701
1715002;1701
1715101;1702
1715150;1702
1715259;1702
1715507;1701
1715705;1701
1715754;1701
1716109;1701
1716208;1702
1716307;1701
1716505;1702
1716604;1701
1716653;1701
1716703;1701
1717008;1702
1717206;1701
1717503;1701
1717800;1702
1717909;1702
1718006;1702
1718204;1702
1718303;1701
1718402;1701
1718451;1701
1718501;1702
1718550;1701
1718659;1702
1718709;1701
1718758;1702
1718808;1701
1718840;1701
1718865;1701
1718881;1702
1718899;1701
1718907;1702
1719004;1702
1720002;1701
1720101;1701
1720150;1702
1720200;1701
1720259;1701
1720309;1701
1720499;1702
1720655;1702
1720804;1701
1720853;1701
1720903;1702
