Codmun6;COD_MET
110001;11900
110002;11900
110003;11900
110004;11900
110005;11900
110006;11900
110007;11900
110008;11900
110009;11900
110010;11900
110011;11900
110012;11900
110013;11900
110014;11900
110015;11900
110018;11900
110020;11900
110025;11900
110026;11900
110028;11900
110029;11900
110030;11900
110032;11900
110033;11900
110034;11900
110037;11900
110040;11900
110045;11900
110050;11900
110060;11900
110070;11900
110080;11900
110090;11900
110092;11900
110094;11900
110100;11900
110110;11900
110120;11900
110130;11900
110140;11900
110143;11900
110145;11900
110146;11900
110147;11900
110148;11900
110149;11900
110150;11900
110155;11900
110160;11900
110170;11900
110175;11900
110180;11900
120000;12000
120001;12900
120005;12900
120010;12900
120013;12900
120017;12900
120020;12900
120025;12900
120030;12900
120032;12900
120033;12900
120034;12900
120035;12900
120038;12900
120039;12900
120040;12900
120042;12900
120043;12900
120045;12900
120050;12900
120060;12900
120070;12900
120080;12900
130000;13000
130002;13900
130006;13900
130008;13900
130010;13900
130014;13900
130020;13900
130030;13010
130040;13900
130050;13900
130060;13900
130063;13900
130068;13900
130070;13900
130080;13900
130083;13900
130090;13900
130100;13900
130110;13010
130115;13010
130120;13900
130130;13900
130140;13900
130150;13900
130160;13900
130165;13900
130170;13900
130180;13900
130185;13010
130190;13010
130195;13900
130200;13010
130210;13900
130220;13900
130230;13900
130240;13900
130250;13010
130255;13010
130260;13010
130270;13900
130280;13900
130290;13900
130300;13900
130310;13900
130320;13010
130330;13900
130340;13900
130350;13900
130353;13010
130356;13010
130360;13900
130370;13900
130380;13900
130390;13900
130395;13900
130400;13010
130406;13900
130410;13900
130420;13900
130423;13900
130426;13900
130430;13900
130440;13900
140000;14000
140002;14900
140005;14010
140010;14010
140015;14010
140017;14010
140020;14030
140023;14020
140028;14030
140030;14010
140040;14900
140045;14900
140047;14020
140050;14020
140060;14020
140070;14900
150000;15000
150010;15900
150013;15900
150020;15900
150030;15900
150034;15900
150040;15900
150050;15900
150060;15900
150070;15900
150080;15010
150085;15900
150090;15900
150095;15900
150100;15900
150110;15900
150120;15900
150125;15900
150130;15900
150140;15010
150145;15020
150150;15010
150157;15900
150160;15900
150170;15900
150172;15900
150175;15900
150178;15900
150180;15900
150190;15900
150195;15900
150200;15900
150210;15900
150215;15900
150220;15900
150230;15900
150240;15010
150250;15900
150260;15900
150270;15900
150275;15900
150276;15900
150277;15900
150280;15900
150285;15900
150290;15900
150293;15900
150295;15900
150300;15900
150304;15900
150307;15900
150309;15900
150310;15900
150320;15900
150330;15900
150340;15900
150345;15900
150350;15900
150360;15900
150370;15900
150375;15900
150380;15900
150390;15900
150400;15900
150405;15900
150410;15900
150420;15900
150430;15900
150440;15900
150442;15010
150445;15900
150450;15900
150460;15900
150470;15900
150475;15020
150480;15900
150490;15900
150495;15900
150497;15900
150500;15900
150503;15900
150506;15900
150510;15900
150520;15900
150530;15900
150540;15900
150543;15900
150548;15900
150549;15900
150550;15900
150553;15900
150555;15900
150560;15900
150563;15900
150565;15900
150570;15900
150580;15900
150590;15900
150600;15900
150610;15900
150611;15900
150613;15900
150616;15900
150618;15900
150619;15900
150620;15900
150630;15900
150635;15010
150640;15900
150650;15010
150655;15900
150658;15900
150660;15900
150670;15900
150680;15020
150690;15900
150700;15900
150710;15900
150715;15900
150720;15900
150730;15900
150740;15900
150745;15900
150746;15900
150747;15900
150750;15900
150760;15900
150770;15900
150775;15900
150780;15900
150790;15900
150795;15900
150796;15900
150797;15900
150800;15900
150803;15900
150805;15900
150808;15900
150810;15900
150812;15900
150815;15900
150820;15900
150830;15900
150835;15900
150840;15900
160000;16000
160005;16900
160010;16900
160015;16900
160020;16900
160021;16900
160023;16900
160025;16900
160027;16900
160030;16010
160040;16900
160050;16900
160053;16900
160055;16900
160060;16010
160070;16900
160080;16900
170000;17000
170025;17900
170030;17900
170035;17020
170040;17900
170070;17020
170100;17900
170105;17900
170110;17010
170130;17900
170190;17900
170200;17020
170210;17900
170215;17900
170220;17900
170230;17900
170240;17900
170255;17900
170270;17900
170290;17900
170300;17900
170305;17900
170307;17900
170310;17010
170320;17900
170330;17900
170360;17900
170370;17010
170380;17900
170382;17900
170384;17900
170386;17020
170388;17900
170389;17900
170390;17900
170410;17900
170460;17900
170510;17900
170550;17900
170555;17900
170560;17900
170600;17900
170610;17900
170625;17020
170650;17900
170700;17900
170710;17900
170720;17900
170730;17020
170740;17900
170755;17010
170765;17020
170770;17900
170820;17020
170825;17900
170830;17900
170900;17900
170930;17900
170950;17020
170980;17010
171050;17900
171070;17900
171090;17900
171110;17900
171150;17020
171180;17900
171190;17020
171195;17900
171200;17010
171215;17900
171240;17900
171245;17900
171250;17900
171270;17900
171280;17900
171320;17010
171330;17010
171360;17010
171370;17900
171380;17900
171395;17900
171420;17900
171430;17900
171488;17900
171500;17900
171510;17900
171515;17900
171525;17900
171550;17010
171570;17900
171575;17020
171610;17010
171620;17900
171630;17900
171650;17900
171660;17020
171665;17900
171670;17900
171700;17900
171720;17900
171750;17900
171780;17900
171790;17900
171800;17900
171820;17010
171830;17900
171840;17900
171845;17010
171850;17900
171855;17900
171865;17900
171870;17900
171875;17900
171880;17900
171884;17020
171886;17900
171888;17900
171889;17900
171890;17900
171900;17900
172000;17900
172010;17900
172015;17900
172020;17900
172025;17020
172030;17900
172049;17020
172065;17010
172080;17900
172085;17020
172090;17900
172093;17900
172097;17020
172100;17010
172110;17010
172120;17900
172125;17900
172130;17900
172208;17900
172210;17900
210000;21000
210005;21900
210010;21900
210015;21900
210020;21010
210030;21900
210040;21900
210043;21900
210047;21900
210050;21900
210055;21900
210060;21900
210070;21900
210080;21900
210083;21900
210087;21900
210090;21900
210095;21900
210100;21900
210110;21010
210120;21900
210125;21010
210130;21900
210135;21900
210140;21900
210150;21900
210160;21900
210170;21900
210173;21900
210177;21900
210180;21900
210190;21900
210193;21900
210197;21900
210200;21900
210203;21900
210207;21900
210210;21900
210215;21900
210220;21900
210230;21900
210232;21900
210235;21020
210237;21010
210240;21900
210250;21900
210255;21900
210260;21900
210270;21900
210275;21900
210280;21900
210290;21900
210300;21900
210310;21900
210312;21900
210315;21900
210317;21900
210320;21900
210325;21900
210330;21900
210340;21900
210350;21900
210355;21900
210360;21900
210370;21900
210375;21020
210380;21900
210390;21900
210400;21900
210405;21900
210407;21900
210408;21900
210409;21900
210410;21900
210420;21900
210430;21900
210440;21900
210450;21900
210455;21020
210460;21900
210462;21900
210465;21900
210467;21900
210470;21900
210480;21900
210490;21900
210500;21900
210510;21010
210515;21900
210520;21900
210530;21020
210535;21900
210540;21900
210542;21900
210545;21900
210547;21900
210550;21020
210560;21900
210565;21900
210570;21900
210580;21900
210590;21900
210592;21900
210594;21900
210596;21900
210598;21900
210600;21900
210610;21900
210620;21900
210630;21900
210632;21900
210635;21900
210637;21900
210640;21900
210650;21900
210660;21900
210663;21900
210667;21900
210670;21900
210675;21900
210680;21900
210690;21900
210700;21020
210710;21010
210720;21900
210725;21900
210730;21900
210735;21900
210740;21900
210745;21900
210750;21010
210760;21900
210770;21900
210780;21900
210790;21900
210800;21900
210805;21900
210810;21900
210820;21900
210825;21900
210830;21900
210840;21900
210845;21900
210850;21900
210860;21900
210870;21900
210880;21900
210890;21900
210900;21900
210905;21900
210910;21900
210920;21010
210923;21900
210927;21900
210930;21900
210940;21900
210945;21010
210950;21900
210955;21020
210960;21010
210970;21900
210975;21900
210980;21900
210990;21900
211000;21900
211003;21900
211010;21900
211020;21010
211023;21900
211027;21900
211030;21900
211040;21900
211050;21900
211060;21900
211065;21900
211070;21900
211080;21900
211085;21900
211090;21900
211100;21900
211102;21900
211105;21900
211107;21900
211110;21900
211120;21010
211125;21900
211130;21010
211140;21900
211150;21900
211153;21900
211157;21900
211160;21900
211163;21900
211167;21900
211170;21900
211172;21900
211174;21900
211176;21020
211178;21900
211180;21900
211190;21900
211195;21900
211200;21900
211210;21900
211220;22010
211223;21900
211227;21900
211230;21900
211240;21900
211245;21900
211250;21900
211260;21900
211270;21900
211280;21900
211285;21900
211290;21900
211300;21900
211400;21900
220000;22000
220005;22900
220010;22900
220020;22900
220025;22900
220027;22900
220030;22900
220040;22010
220045;22900
220050;22900
220060;22900
220070;22900
220080;22900
220090;22900
220095;22900
220100;22900
220105;22900
220110;22900
220115;22900
220117;22900
220120;22900
220130;22900
220140;22900
220150;22900
220155;22900
220157;22900
220160;22010
220170;22900
220173;22900
220177;22900
220180;22900
220190;22900
220191;22900
220192;22900
220194;22900
220196;22900
220198;22900
220200;22900
220202;22900
220205;22900
220207;22900
220208;22900
220209;22900
220210;22900
220211;22900
220213;22900
220217;22900
220220;22900
220225;22900
220230;22900
220240;22900
220245;22900
220250;22900
220253;22900
220255;22900
220260;22900
220265;22900
220270;22900
220271;22900
220272;22900
220273;22010
220275;22900
220277;22900
220280;22900
220285;22900
220290;22900
220300;22900
220310;22900
220320;22900
220323;22900
220325;22010
220327;22900
220330;22010
220335;22900
220340;22900
220342;22900
220345;22900
220350;22900
220360;22900
220370;22900
220375;22900
220380;22900
220385;22900
220390;22900
220400;22900
220410;22900
220415;22900
220420;22900
220430;22900
220435;22900
220440;22900
220450;22900
220455;22900
220460;22900
220465;22900
220470;22900
220480;22900
220490;22900
220500;22900
