Codmun6;COD_MIC
110000;11000
110001;11006
110002;11003
110003;11008
110004;11006
110005;11008
110006;11008
110007;11008
110008;11002
110009;11006
110010;11002
110011;11004
110012;11004
110013;11003
110014;11005
110015;11004
110018;11007
110020;11001
110025;11004
110026;11003
110028;11006
110029;11006
110030;11007
110032;11005
110033;11001
110034;11005
110037;11006
110040;11003
110045;11001
110050;11006
110060;11003
110070;11001
110080;11001
110090;11006
110092;11007
110094;11001
110100;11004
110110;11001
110120;11006
110130;11004
110140;11003
110143;11004
110145;11007
110146;11008
110147;11007
110148;11007
110149;11002
110150;11005
110155;11004
110160;11004
110170;11004
110175;11003
110180;11004
120000;12000
120001;12004
120005;12005
120010;12005
120013;12004
120017;12004
120020;12001
120025;12005
120030;12002
120032;12002
120033;12001
120034;12003
120035;12001
120038;12004
120039;12001
120040;12004
120042;12001
120043;12003
120045;12004
120050;12003
120060;12002
120070;12005
120080;12004
130000;13000
130002;13005
130006;13003
130008;13006
130010;13006
130014;13013
130020;13003
130030;13007
130040;13001
130050;13010
130060;13003
130063;13006
130068;13010
130070;13011
130080;13013
130083;13006
130090;13012
130100;13004
130110;13007
130115;13007
130120;13006
130130;13006
130140;13004
130150;13004
130160;13003
130165;13004
130170;13013
130180;13004
130185;13007
130190;13009
130195;13004
130200;13009
130210;13002
130220;13004
130230;13003
130240;13012
130250;13007
130255;13007
130260;13007
130270;13013
130280;13002
130290;13010
130300;13010
130310;13009
130320;13001
130330;13013
130340;13010
130350;13011
130353;13008
130356;13008
130360;13001
130370;13003
130380;13001
130390;13003
130395;13010
130400;13009
130406;13003
130410;13012
130420;13005
130423;13003
130426;13005
130430;13010
130440;13009
140000;14000
140002;14001
140005;14001
140010;14001
140015;14002
140017;14002
140020;14003
140023;14004
140028;14003
140030;14003
140040;14002
140045;14001
140047;14004
140050;14004
140060;14004
140070;14002
150000;15000
150010;15011
150013;15017
150020;15012
150030;15005
150034;15019
150040;15002
150050;15003
150060;15015
150070;15005
150080;15007
150085;15015
150090;15010
150095;15013
150100;15014
150110;15004
150120;15011
150125;15018
150130;15007
150140;15007
150145;15002
150150;15007
150157;15017
150160;15010
150170;15010
150172;15015
150175;15020
150178;15016
150180;15005
150190;15008
150195;15013
150200;15006
150210;15011
150215;15019
150220;15010
150230;15013
150240;15008
150250;15006
150260;15009
150270;15022
150275;15012
150276;15018
150277;15019
150280;15005
150285;15002
150290;15009
150293;15017
150295;15019
150300;15001
150304;15022
150307;15013
150309;15017
150310;15004
150320;15010
150330;15011
150340;15008
150345;15013
150350;15013
150360;15014
150370;15016
150375;15014
150380;15016
150390;15001
150400;15011
150405;15013
150410;15009
150420;15020
150430;15009
150440;15009
150442;15007
150445;15015
150450;15004
150460;15011
150470;15012
150475;15002
150480;15002
150490;15006
150495;15013
150497;15016
150500;15010
150503;15014
150506;15016
150510;15001
150520;15011
150530;15001
150540;15013
150543;15018
150548;15015
150549;15020
150550;15017
150553;15019
150555;15021
150560;15010
150563;15021
150565;15002
150570;15006
150580;15004
150590;15003
150600;15002
150610;15010
150611;15010
150613;15021
150616;15021
150618;15017
150619;15014
150620;15009
150630;15006
150635;15007
150640;15006
150650;15008
150655;15013
150658;15022
150660;15010
150670;15022
150680;15002
150690;15010
150700;15008
150710;15009
150715;15020
150720;15013
150730;15018
150740;15010
150745;15021
150746;15009
150747;15009
150750;15020
150760;15013
150770;15005
150775;15021
150780;15015
150790;15006
150795;15012
150796;15009
150797;15001
150800;15012
150803;15010
150805;15014
150808;15018
150810;15016
150812;15017
150815;15015
150820;15009
150830;15013
150835;15015
150840;15021
160000;16000
160005;16003
160010;16002
160015;16003
160020;16001
160021;16003
160023;16003
160025;16003
160027;16004
160030;16003
160040;16004
160050;16001
160053;16003
160055;16002
160060;16003
160070;16002
160080;16004
170000;17000
170025;17003
170030;17001
170035;17005
170040;17008
170070;17005
170100;17001
170105;17001
170110;17006
170130;17002
170190;17003
170200;17004
170210;17002
170215;17002
170220;17001
170230;17002
170240;17008
170255;17001
170270;17008
170290;17001
170300;17002
170305;17002
170307;17007
170310;17003
170320;17003
170330;17006
170360;17003
170370;17005
170380;17001
170382;17001
170384;17007
170386;17005
170388;17002
170389;17001
170390;17003
170410;17007
170460;17004
170510;17008
170550;17002
170555;17008
170560;17008
170600;17003
170610;17004
170625;17005
170650;17001
170700;17008
170710;17003
170720;17003
170730;17004
170740;17001
170755;17004
170765;17005
170770;17002
170820;17004
170825;17003
170830;17003
170900;17007
170930;17003
170950;17005
170980;17006
171050;17007
171070;17001
171090;17007
171110;17003
171150;17005
171180;17003
171190;17004
171195;17007
171200;17006
171215;17008
171240;17007
171245;17001
171250;17003
171270;17007
171280;17001
171320;17003
171330;17003
171360;17006
171370;17003
171380;17001
171395;17002
171420;17008
171430;17001
171488;17002
171500;17004
171510;17007
171515;17008
171525;17008
171550;17004
171570;17002
171575;17005
171610;17004
171620;17008
171630;17002
171650;17006
171660;17005
171665;17003
171670;17003
171700;17008
171720;17002
171750;17004
171780;17008
171790;17007
171800;17008
171820;17006
171830;17001
171840;17003
171845;17004
171850;17007
171855;17001
171865;17008
171870;17003
171875;17007
171880;17001
171884;17004
171886;17002
171888;17006
171889;17005
171890;17008
171900;17007
172000;17001
172010;17001
172015;17007
172020;17001
172025;17005
172030;17001
172049;17008
172065;17006
172080;17001
172085;17005
172090;17008
172093;17008
172097;17005
172100;17006
172110;17006
172120;17001
172125;17003
172130;17003
172208;17002
172210;17002
210000;21000
210005;21009
210010;21016
210015;21013
210020;21001
210030;21016
210040;21008
210043;21015
210047;21008
210050;21020
210055;21007
210060;21009
210070;21005
210080;21014
210083;21001
210087;21008
210090;21013
210095;21011
210100;21005
210110;21003
210120;21010
210125;21003
210130;21001
210135;21001
210140;21020
210150;21018
210160;21011
210170;21004
210173;21014
210177;21005
210180;21021
210190;21001
210193;21010
210197;21007
210200;21008
210203;21008
210207;21010
210210;21014
210215;21008
210220;21014
210230;21017
210232;21008
210235;21009
210237;21003
210240;21001
210250;21005
210255;21019
210260;21007
210270;21006
210275;21015
210280;21019
210290;21007
210300;21017
210310;21001
210312;21001
210315;21007
210317;21007
210320;21014
210325;21009
210330;21015
210340;21016
210350;21018
210355;21005
210360;21015
210370;21001
210375;21009
210380;21012
210390;21016
210400;21010
210405;21019
210407;21020
210408;21011
210409;21011
210410;21021
210420;21012
210430;21007
210440;21012
210450;21012
210455;21009
210460;21012
210462;21012
210465;21008
210467;21007
210470;21012
210480;21011
210490;21001
210500;21004
210510;21003
210515;21005
210520;21010
210530;21009
210535;21011
210540;21006
210542;21009
210545;21018
210547;21011
210550;21009
210560;21011
210565;21007
210570;21008
210580;21010
210590;21010
210592;21018
210594;21010
210596;21008
210598;21009
210600;21010
210610;21021
210620;21007
210630;21013
210632;21007
210635;21008
210637;21007
210640;21014
210650;21005
210660;21017
210663;21006
210667;21014
210670;21018
210675;21006
210680;21001
210690;21005
210700;21009
210710;21003
210720;21006
210725;21021
210730;21018
210735;21008
210740;21010
210745;21005
210750;21002
210760;21005
210770;21018
210780;21017
210790;21018
210800;21018
210805;21004
210810;21008
210820;21010
210825;21005
210830;21005
210840;21005
210845;21015
210850;21008
210860;21005
210870;21010
210880;21006
210890;21010
210900;21019
210905;21001
210910;21012
210920;21003
210923;21008
210927;21005
210930;21006
210940;21004
210945;21002
210950;21020
210955;21009
210960;21003
210970;21021
210975;21011
210980;21005
210990;21008
211000;21008
211003;21008
211010;21013
211020;21003
211023;21013
211027;21004
211030;21010
211040;21014
211050;21005
211060;21013
211065;21021
211070;21012
211080;21021
211085;21009
211090;21018
211100;21005
211102;21008
211105;21019
211107;21017
211110;21018
211120;21002
211125;21012
211130;21002
211140;21010
211150;21010
211153;21009
211157;21019
211160;21021
211163;21010
211167;21010
211170;21005
211172;21010
211174;21012
211176;21009
211178;21001
211180;21011
211190;21018
211195;21018
211200;21020
211210;21015
211220;21017
211223;21010
211227;21008
211230;21011
211240;21007
211245;21007
211250;21004
211260;21014
211270;21006
211280;21005
211285;21009
211290;21005
211300;21008
211400;21008
220000;22000
220005;22015
220010;22005
220020;22005
220025;22014
220027;22014
220030;22004
220040;22003
220045;22010
220050;22005
220060;22005
220070;22011
220080;22008
220090;22006
220095;22013
220100;22005
220105;22004
220110;22012
220115;22007
220117;22006
220120;22001
220130;22010
220140;22005
220150;22001
220155;22015
220157;22015
220160;22003
220170;22008
220173;22015
220177;22001
220180;22013
220190;22010
220191;22002
220192;22011
220194;22004
220196;22001
220198;22011
220200;22002
220202;22004
220205;22001
220207;22013
220208;22002
220209;22015
220210;22015
220211;22015
220213;22015
220217;22001
220220;22004
220225;22009
220230;22011
220240;22004
220245;22015
220250;22011
220253;22002
220255;22015
220260;22004
220265;22002
220270;22002
220271;22004
220272;22002
220273;22003
220275;22008
220277;22013
220280;22015
220285;22011
220290;22012
220300;22012
220310;22010
220320;22012
220323;22010
220325;22003
220327;22015
220330;22003
220335;22011
220340;22013
220342;22004
220345;22011
220350;22006
220360;22008
220370;22001
220375;22011
220380;22009
220385;22015
220390;22009
220400;22006
220410;22005
220415;22015
220420;22014
220430;22015
220435;22013
220440;22010
220450;22009
220455;22011
220460;22005
220465;22002
220470;22006
220480;22013
220490;22015
220500;22015
220510;22009
220515;22015
220520;22015
220525;22005
220527;22004
220530;22009
220535;22015
220540;22001
220545;22001
220550;22003
220551;22004
220552;22012
220553;22011
220554;22005
220555;22003
220556;22015
220557;22004
220558;22003
220559;22006
220560;22008
220570;22002
220580;22001
220585;22001
220590;22008
220595;22015
220600;22008
220605;22015
220610;22001
220620;22001
220630;22003
220635;22004
220640;22003
220650;22014
220660;22010
220665;22012
220667;22001
220669;22002
220670;22009
220672;22003
220675;22004
220680;22001
220690;22006
220695;22004
220700;22013
220710;22005
220720;22015
220730;22015
220735;22011
220740;22010
220750;22005
220755;22013
220760;22012
220770;22002
220775;22005
220777;22015
220779;22003
220780;22015
220785;22009
220790;22004
220793;22015
220795;22015
220800;22013
220810;22006
220820;22014
220830;22002
220840;22001
220850;22001
220855;22008
220860;22006
220865;22015
220870;22010
220880;22005
220885;22012
220887;22015
220890;22007
220900;22009
220910;22013
220915;22006
220920;22007
220930;22010
220935;22013
220937;22013
220940;22014
220945;22005
220950;22015
220955;22011
220960;22006
220965;22015
220970;22009
220975;22010
220980;22005
220985;22013
220987;22002
220990;22004
220995;22013
220997;22001
221000;22015
221005;22002
221010;22009
221020;22013
221030;22014
221035;22011
221037;22013
221038;22006
221039;22009
221040;22004
221050;22005
221060;22011
221062;22012
221063;22008
221065;22004
221070;22015
221080;22015
221090;22015
221093;22013
221095;22011
221097;22013
221100;22003
221110;22003
221120;22007
221130;22006
221135;22011
221140;22006
221150;22015
221160;22015
221170;22013
230000;23000
230010;23033
230015;23013
230020;23001
230030;23021
230040;23020
230050;23004
230060;23030
230070;23023
230075;23008
230080;23027
230090;23011
230100;23016
230110;23022
230120;23013
230125;23018
230130;23029
230140;23013
230150;23020
230160;23029
230170;23031
230180;23028
230185;23019
230190;23032
230195;23014
230200;23031
230205;23001
230210;23013
230220;23015
230230;23001
230240;23019
230250;23033
230260;23001
230270;23029
230280;23012
230290;23013
230300;23012
230310;23005
230320;23030
230330;23027
230340;23002
230350;23015
230360;23020
230365;23007
230370;23016
230380;23026
230390;23001
230393;23019
230395;23014
230400;23003
230410;23018
230420;23032
230423;23002
230425;23001
230426;23021
230427;23025
230428;23016
230430;23030
230435;23005
230440;23016
230445;23022
230450;23003
230460;23011
230465;23005
230470;23001
230480;23030
230490;23005
230495;23016
230500;23002
230510;23013
230520;23007
230523;23017
230526;23019
230530;23002
230533;23023
230535;23022
230540;23026
230550;23026
230560;23018
230565;23018
230570;23028
230580;23006
230590;23006
230600;23025
230610;23005
230620;23022
230625;23016
230630;23010
230640;23008
230650;23013
230655;23001
230660;23012
230670;23024
230680;23024
230690;23024
230700;23023
230710;23032
230720;23033
230725;23001
230730;23032
230740;23027
230750;23028
230760;23023
230763;23019
230765;23016
230770;23016
230780;23001
230790;23001
230800;23005
230810;23031
230820;23004
230830;23033
230835;23021
230837;23005
230840;23032
230850;23021
230860;23018
230870;23023
230880;23003
230890;23001
230900;23005
230910;23013
230920;23032
230930;23018
230940;23018
230945;23014
230950;23026
230960;23017
230970;23016
230980;23013
230990;23005
231000;23023
231010;23013
231020;23009
231025;23009
231030;23020
231040;23012
231050;23021
231060;23033
231070;23011
231080;23025
231085;23015
231090;23021
231095;23006
231100;23006
231110;23032
231120;23029
231123;23025
231126;23018
231130;23019
231135;23026
231140;23019
231150;23023
231160;23013
231170;23006
231180;23023
231190;23020
231195;23029
231200;23005
231210;23032
231220;23007
231230;23002
231240;23009
231250;23023
