COD_MESO;POP_ESTIM
1101;761057
1102;1016168
1201;242796
1202;639139
1301;138655
1302;404397
1303;3269348
1304;332197
1401;497513
1402;108248
1501;796766
1502;564199
1503;2707279
1504;2018738
1505;530276
1506;1969523
1601;69931
1602;775800
1701;963390
1702;609476
2101;2840284
2102;1508258
2103;960433
2104;1430217
2105;335989
2201;665149
2202;1528823
2203;536061
2204;543194
2301;1425980
2302;1093206
2303;3808511
2304;914346
2305;560131
2306;391868
2307;938036
2401;902526
2402;404847
2403;462658
2404;1736822
2501;903911
2502;315518
2503;1269391
2504;1529307
2601;1073221
2602;663089
2603;2412364
2604;1405519
2605;4002878
2701;453109
2702;659101
2703;2225147
2801;247923
2802;482119
2803;1568654
2901;643487
2902;1036299
2903;2358073
2904;1624932
2905;4601273
2906;2534452
2907;2074548
3101;395811
3102;1722156
3103;723929
3104;393985
3105;2384478
3106;442552
3107;6817784
3108;1709266
3109;1056982
3110;2615720
3111;594581
3112;2311547
3201;448663
3202;652244
3203;2304647
3204;613096
3301;335368
3302;958248
3303;507621
3304;861732
3305;1160648
3306;13441326
3501;1736252
3502;2667376
3503;765432
3504;1614574
3505;909258
3506;1546453
3507;4314090
3508;909594
3509;471094
3510;599803
3511;910413
3512;3041730
3513;2552610
3514;507093
3515;23373277
4101;724459
4102;328863
4103;2263045
4104;554411
4105;761629
4106;1315226
4107;528411
4108;563545
4109;437531
4110;3956837
4201;1294228
4202;1403281
4203;415384
4204;1832789
4205;1186740
4206;1009515
4301;1979432
4302;1189492
4303;557831
4304;836299
4305;5144761
4306;718385
4307;948036
5001;264301
5002;1134818
5003;432610
5004;941702
5101;1132447
5102;318485
5103;357734
5104;1152451
5105;523349
5201;223320
5202;307903
5203;3586015
5204;1410715
5205;1490401
5301;3015268
