CD_RGIME;POP_ESTIM
110001;643452
110002;234145
110003;121181
110004;312376
110005;307958
110006;158113
120001;505863
120002;71429
120003;61847
120004;157132
120005;85664
130001;2518988
130002;98222
130003;154423
130004;143526
130005;185341
130006;219941
130007;109524
130008;132588
130009;158448
130010;250599
130011;172997
140001;463320
140002;52046
140003;56519
140004;33876
150001;2730952
150002;230473
150003;408829
150004;539861
150005;319794
150006;203615
150007;357542
150008;119579
150009;577573
150010;297095
150011;391251
150012;269463
150013;200915
150014;96304
150015;467008
150016;252117
150017;223532
150018;261435
150019;75244
150020;409747
150021;154452
160001;651826
160002;66341
160003;75914
160004;51650
170001;333067
170002;111076
170003;122926
170004;49259
170005;326132
170006;90011
170007;67737
170008;51497
170009;140672
170010;192341
170011;88148
210001;309193
210002;292285
210003;291886
210004;239521
210005;225776
210006;119946
210007;203557
210008;135124
210009;438689
210010;1494694
210011;260435
210012;348632
210013;269897
210014;121697
210015;219872
210016;356881
210017;169746
210018;90427
210019;623109
210020;275404
210021;249416
210022;287280
220001;956170
220002;419629
220003;96760
220004;158260
220005;92955
220006;100319
220007;155709
220008;100919
220009;220524
220010;100095
220011;42829
220012;77443
220013;140726
220014;83603
220015;193018
220016;87360
220017;130872
220018;92377
220019;70911
230001;632954
230002;242398
230003;579404
230004;210642
230005;141638
230006;435453
230007;376977
230008;2820976
230009;1086856
230010;116676
230011;646307
230012;217919
230013;318038
230014;53183
230015;458574
230016;381507
230017;244036
230018;112113
240001;1396092
240002;158601
240003;76464
240004;127533
240005;107344
240006;112456
240007;221234
240008;196001
240009;231405
240010;613574
240011;323868
250001;995380
250002;357165
250003;514507
250004;43141
250005;579394
250006;116677
250007;68771
250008;148285
250009;366667
250010;158827
250011;71511
250012;239400
250013;95474
250014;124842
250015;139016
260001;342943
260002;341980
260003;1074927
260004;585263
260005;195540
260006;205126
260007;144828
260008;459081
260009;2414217
260010;680854
260011;548506
260012;496206
260013;335789
260014;483540
260015;165569
260016;535183
260017;427310
260018;107724
270001;257235
270002;276542
270003;143415
270004;149281
270005;150528
270006;390553
270007;378348
270008;1132543
270009;115952
270010;174241
270011;157711
280001;434556
280002;891388
280003;416720
280004;273598
280005;95847
280006;187026
290001;277756
290002;683528
290003;299708
290004;253944
290005;420130
290006;146701
290007;712658
290008;567068
290009;276091
290010;162149
290011;617372
290012;261683
290013;260886
290014;265443
290015;217862
290016;577163
290017;307305
290018;378282
290019;151039
290020;538844
290021;229476
290022;284650
290023;802708
290024;158418
290025;143948
290026;131340
290027;203780
290028;202904
290029;3821761
290030;305110
290031;522532
290032;240906
290033;66622
290034;362108
310001;244476
310002;329772
310003;147124
310004;151860
310005;175664
310006;1373941
310007;116906
310008;126971
310009;149775
310010;138789
310011;147453
310012;148803
310013;556291
310014;175163
310015;148589
310016;220086
310017;146926
310018;328979
310019;752297
310020;585175
310021;289639
310022;203964
310023;58871
310024;2896502
310025;174256
310026;77542
310027;1020395
310028;973278
310029;481593
310030;337921
310031;274851
310032;115335
310033;323048
310034;185774
310035;73756
310036;84046
310037;167655
310038;262767
310039;218487
310040;34878
310041;257267
310042;343579
310043;587571
310044;191332
310045;97434
310046;719891
310047;37029
310048;20581
310049;66299
310050;782332
310051;250344
310052;119206
310053;286542
310054;85818
310055;83988
310056;101031
310057;79882
310058;132981
310059;451828
310060;299154
310061;98700
310062;432281
310063;151916
310064;183290
310065;362610
310066;62047
310067;94069
310068;179075
310069;160155
310070;71542
320001;873339
320002;223049
320003;322931
320004;585872
320005;541949
320006;141077
320007;651063
320008;319825
330001;2371095
330002;406382
330003;440178
330004;1639970
330005;166454
330006;330601
330007;207248
330008;8874434
330009;88541
330010;1331275
330011;760828
330012;313871
330013;177609
330014;245542
350001;3980530
350002;243444
350003;1044930
350004;1664590
350005;326013
350006;458983
350007;233974
350008;136877
350009;867304
350010;185546
350011;539728
350012;107572
350013;1028679
350014;130306
350015;222238
350016;461275
350017;780798
350018;845872
350019;382997
350020;791483
350021;368372
350022;484237
350023;794608
350024;835357
350025;1650895
350026;541794
350027;757754
350028;1567706
350029;283741
350030;222841
350031;2995283
350032;671428
350033;341210
350034;120544
350035;156281
350036;466308
350037;301189
350038;185159
350039;1535313
350040;12649519
350041;437682
350042;105951
350043;847848
350044;102449
350045;251657
350046;156312
350047;147424
350048;422072
350049;910524
350050;758423
350051;183950
350052;331656
350053;162131
410001;429832
410002;585340
410003;248526
410004;265486
410005;246660
410006;339384
410007;99178
410008;161068
410009;193343
410010;735991
410011;50557
410012;40851
410013;177580
410014;321942
410015;1185733
410016;692238
410017;272086
410018;473404
410019;539772
410020;69651
410021;370709
410022;318873
410023;236641
410024;166497
410025;389372
410026;160336
410027;613692
410028;1994269
410029;60571
420001;148706
420002;341307
420003;395426
420004;277312
420005;804764
420006;83151
420007;1342240
420008;204354
420009;472483
420010;117648
420011;72863
420012;278031
420013;44291
420014;184064
420015;186869
420016;268843
420017;136590
420018;96831
420019;217533
420020;300167
420021;173475
420022;177043
420023;675888
420024;115668
430001;612874
430002;299788
430003;113663
430004;241748
430005;56295
430006;67674
430007;65587
430008;116604
430009;854130
430010;91807
430011;256982
430012;397968
430013;49378
430014;15969
430015;18040
430016;9639
430017;19436
430018;183118
430019;1603224
430020;201848
430021;179886
430022;437135
430023;207330
430024;39843
430025;416046
430026;379262
430027;74771
430028;348441
430029;1065879
430030;127649
430031;71560
430032;154950
430033;461480
430034;58140
430035;37851
430036;206589
430037;393066
430038;137159
430039;66884
430040;368952
430041;570128
430042;167277
430043;140833
500001;373278
500002;73143
500003;977147
500004;241640
500005;427588
500006;119737
500007;151244
500008;49008
500009;110070
500010;9974
500011;99565
500012;32969
510001;285506
510002;915427
510003;79573
510004;69552
510005;180703
510006;185032
510007;185339
510008;117192
510009;124396
510010;34769
510011;36290
510012;218215
510013;100288
510014;730065
510015;114973
510016;122211
510017;23483
510018;71123
520001;206867
520002;689007
520003;550770
520004;122984
520005;1666749
520006;177729
520007;315329
520008;54048
520009;72397
520010;88866
520011;733920
520012;74101
520013;327294
520014;126381
520015;466222
520016;224184
520017;145048
520018;312714
520019;49821
520020;64700
520021;389778
520022;168622
530001;6171
