CD_RGINT;POP_ESTIM
1101;998778
1102;778447
1201;639139
1202;242796
1301;2915159
1302;514806
1303;291036
1304;423596
1401;515366
1402;90395
1501;3370254
1502;1540391
1503;1265919
1504;566682
1505;942657
1506;336679
1507;564199
1601;718167
1602;127564
1701;616328
1702;676049
1703;280489
2101;3217851
2102;1294245
2103;779418
2104;483575
2105;1300092
2201;1588406
2202;606302
2203;487626
2204;159821
2205;192431
2206;238641
2301;5013852
2302;883870
2303;455237
2304;1043609
2305;359840
2306;1375670
2401;2227032
2402;298246
2403;981575
2501;1927663
2502;1152611
2503;646735
2504;291118
2601;5747264
2602;2305509
2603;517563
2604;997475
2701;2155986
2702;1170631
2801;1612142
2802;686554
2901;4512348
2902;1016689
2903;1627337
2904;1763954
2905;710745
2906;643487
2907;629255
2908;814059
2909;816717
2910;2338473
3101;6284542
3102;1681525
3103;1223321
3104;772858
3105;1027593
3106;2345109
3107;776567
3108;1642538
3109;1297486
3110;793640
3111;1171685
3112;824504
3113;1327423
3201;2274193
3202;645772
3203;460107
3204;638578
3301;13165821
3302;1036517
3303;1018201
3304;972715
3305;1071689
3501;23628846
3502;3063256
3503;1447403
3504;1062182
3505;930847
3506;811066
3507;1622630
3508;2647837
3509;1142506
3510;7026655
3511;2552610
4101;4112911
4102;442815
4103;2047385
4104;1863078
4105;1970161
4106;980818
4201;1145568
4202;941584
4203;358143
4204;1122146
4205;237200
4206;1390350
4207;1946946
4301;5017222
4302;1036678
4303;764786
4304;453698
4305;756579
4306;1284308
4307;1266894
4308;794071
5001;1522369
5002;887628
5003;363434
5101;1422448
5102;313541
5103;920473
5104;340800
5105;487204
5201;3704629
5202;406281
5203;689043
5204;308746
5205;522186
5206;1387469
5301;3015268
