COD_MET;POP_ESTIM
11900;1777225
12900;881935
13010;2676936
13900;1467661
14010;463320
14020;56519
14030;33876
14900;52046
15010;2510274
15020;322321
15900;5754186
16010;624691
16900;221040
17010;484674
17020;195249
17900;892943
21010;1633117
21020;360192
21900;4912765
22010;1223902
22900;2218432
23010;4106245
23020;609358
23900;4416475
24010;1549667
24900;1957186
25010;1278401
25020;640501
25030;189262
25040;232636
25050;141755
25060;177393
25070;143251
25080;81405
25090;121631
25100;117399
25110;136602
25120;67781
25900;690110
26010;3999817
26020;778235
26900;5125586
27010;1310520
27020;510215
27030;160893
27040;330269
27050;157389
27060;226080
27070;160758
27080;150037
27900;331196
28010;961120
28900;1337576
29010;3929209
29021;741176
29022;175336
29900;9680776
31011;5353580
31012;608315
31021;497770
31022;272869
31900;14327038
32010;1979337
32900;2039313
33010;12763459
33900;4501484
35010;21734682
35020;1865397
35030;3264915
35041;1103668
35042;626309
35043;355685
35044;130667
35045;336281
35050;815338
35060;1466704
35070;1979885
35900;12239518
41010;3654960
41020;1111577
41030;820493
41040;313794
41050;299860
41060;328863
41070;523854
41080;398323
41900;3982233
42011;1046358
42012;163460
42021;573948
42022;248464
42031;628595
42032;790923
42041;558826
42042;129616
42051;362053
42052;242817
42061;142058
42062;239509
42071;170339
42072;185384
42081;402890
42082;83154
42091;133492
42092;164329
42101;192938
42102;147028
42111;535756
43010;4340733
43020;335884
43030;847415
43040;609269
43900;5240935
50900;2773431
51011;927362
51012;113945
51900;2443159
52010;2606931
52900;3129569
53010;4406341
