code_muni;POP_ESTIM
1100015.0;22945
1100023.0;107863
1100031.0;5312
1100049.0;85359
1100056.0;16323
1100064.0;15882
1100072.0;7391
1100080.0;18331
1100098.0;32374
1100106.0;46174
1100114.0;51775
1100122.0;128969
1100130.0;39991
1100148.0;20474
1100155.0;36035
1100189.0;36660
1100205.0;529544
1100254.0;18986
1100262.0;3764
1100288.0;55058
1100296.0;6495
1100304.0;99854
1100320.0;23005
1100338.0;30583
1100346.0;14411
1100379.0;13241
1100403.0;21428
1100452.0;39654
1100502.0;8538
1100601.0;6230
1100700.0;14139
1100809.0;26693
1100908.0;3052
1100924.0;11182
1100940.0;25215
1101005.0;7767
1101104.0;10458
1101203.0;9660
1101302.0;10947
1101401.0;15852
1101435.0;6970
1101450.0;6074
1101468.0;2169
1101476.0;2856
1101484.0;5172
1101492.0;20266
1101500.0;11856
1101559.0;4308
1101609.0;10444
1101708.0;11467
1101757.0;11204
1101807.0;6825
1200013.0;15256
1200054.0;7417
1200104.0;26278
1200138.0;10266
1200179.0;11733
1200203.0;88376
1200252.0;18411
1200302.0;34780
1200328.0;8317
1200336.0;18977
1200344.0;9459
1200351.0;18867
1200385.0;19761
1200393.0;11982
1200401.0;407319
1200427.0;18930
1200435.0;6540
1200450.0;23024
1200500.0;45848
1200609.0;42567
1200708.0;19323
1200807.0;18504
1300029.0;16041
1300060.0;11536
1300086.0;13614
1300102.0;21010
1300144.0;21973
1300201.0;19921
1300300.0;39565
1300409.0;27502
1300508.0;32041
1300607.0;42984
1300631.0;19679
1300680.0;19207
1300706.0;34308
1300805.0;41161
1300839.0;13081
1300904.0;15629
1301001.0;28294
1301100.0;37869
1301159.0;30225
1301209.0;85097
1301308.0;28637
1301407.0;35273
1301506.0;20033
1301605.0;17609
1301654.0;16678
1301704.0;55080
1301803.0;29689
1301852.0;48296
1301902.0;101337
1301951.0;7851
1302009.0;9148
1302108.0;2755
1302207.0;14712
1302306.0;14317
1302405.0;46069
1302504.0;97377
1302553.0;32105
1302603.0;2182763
1302702.0;55751
1302801.0;18224
1302900.0;63905
1303007.0;21173
1303106.0;37378
1303205.0;19454
1303304.0;25644
1303403.0;114273
1303502.0;19426
1303536.0;36279
1303569.0;33347
1303601.0;25156
1303700.0;21602
1303809.0;45564
1303908.0;39299
1303957.0;14020
1304005.0;9171
1304062.0;65844
1304104.0;17156
1304203.0;59849
1304237.0;18755
1304260.0;13540
1304302.0;16256
1304401.0;23065
1400027.0;12796
1400050.0;15510
1400100.0;399213
1400159.0;12409
1400175.0;18335
1400209.0;21926
1400233.0;10169
1400282.0;11950
1400308.0;17853
1400407.0;11290
1400456.0;17401
1400472.0;30163
1400506.0;8201
1400605.0;7986
1400704.0;10559
1500107.0;157698
1500131.0;7434
1500206.0;55591
1500305.0;39218
1500347.0;27430
1500404.0;56789
1500503.0;34109
1500602.0;114594
1500701.0;29277
1500800.0;530598
1500859.0;27890
1500909.0;45998
1500958.0;31338
1501006.0;16388
1501105.0;30673
1501204.0;47446
1501253.0;3286
1501303.0;124680
1501402.0;1492745
1501451.0;17732
1501501.0;62737
1501576.0;16981
1501600.0;16286
1501709.0;127686
1501725.0;15086
1501758.0;7380
1501782.0;66046
1501808.0;102701
1501907.0;29132
1501956.0;33900
1502004.0;23767
1502103.0;137890
1502152.0;37085
1502202.0;69027
1502301.0;54303
1502400.0;200793
1502509.0;23717
1502608.0;12085
1502707.0;47864
1502756.0;33318
1502764.0;13473
1502772.0;17929
1502806.0;34448
1502855.0;14393
1502905.0;40066
1502939.0;59719
1502954.0;33808
1503002.0;7194
1503044.0;20304
1503077.0;26066
1503093.0;40475
1503101.0;33376
1503200.0;38807
1503309.0;62698
1503408.0;11711
1503457.0;64053
1503507.0;32550
1503606.0;101247
1503705.0;53269
1503754.0;8239
1503804.0;59155
1503903.0;57943
1504000.0;28935
1504059.0;30077
1504109.0;8548
1504208.0;279349
1504307.0;29473
1504406.0;28336
1504422.0;131521
1504455.0;31597
1504505.0;27654
1504604.0;31136
1504703.0;82094
1504802.0;58032
1504901.0;40349
1504950.0;21368
1504976.0;16678
1505007.0;15363
1505031.0;25762
1505064.0;75919
1505106.0;52137
1505205.0;32512
1505304.0;73096
1505403.0;17842
1505437.0;32832
1505486.0;47706
1505494.0;7589
1505502.0;113145
1505536.0;208273
1505551.0;5483
1505601.0;8077
1505635.0;12981
1505650.0;30982
1505700.0;31082
1505809.0;62043
1505908.0;41135
1506005.0;29866
1506104.0;10825
1506112.0;13608
1506138.0;84787
1506161.0;18193
1506187.0;52357
1506195.0;50510
1506203.0;40675
1506302.0;23752
1506351.0;21079
1506401.0;10128
1506500.0;70801
1506559.0;19848
1506583.0;21449
1506609.0;24861
1506708.0;72817
1506807.0;304589
1506906.0;6709
1507003.0;31482
1507102.0;18050
1507151.0;25557
1507201.0;31989
1507300.0;128481
1507409.0;15882
1507458.0;24847
1507466.0;6139
1507474.0;23045
1507508.0;13996
1507607.0;58986
1507706.0;26640
1507755.0;5930
1507805.0;11658
1507904.0;25374
1507953.0;106339
1507961.0;11720
1507979.0;18769
1508001.0;63447
1508035.0;30959
1508050.0;18989
1508084.0;39602
1508100.0;113659
1508126.0;59210
1508159.0;45476
1508209.0;53686
1508308.0;61403
1508357.0;15134
1508407.0;44751
1600055.0;5397
1600105.0;9109
1600154.0;16502
1600204.0;11117
1600212.0;5983
1600238.0;7780
1600253.0;5503
1600279.0;50410
1600303.0;503327
1600402.0;21632
1600501.0;27270
1600535.0;21971
1600550.0;5120
1600600.0;121364
1600709.0;17315
1600808.0;15931
1700251.0;2579
1700301.0;6733
1700350.0;5390
1700400.0;7055
1700707.0;8412
1701002.0;9549
1701051.0;3433
1701101.0;4795
1701309.0;5758
1701903.0;7086
1702000.0;8517
1702109.0;180470
1702158.0;5729
1702208.0;35761
1702307.0;6643
